Cluster,Silhouette,sepal length,sepal width,petal length,petal width
C1,0.636749,6.1,2.8,4.0,1.3
C1,0.611986,6.3,2.5,4.9,1.5
C1,0.628113,6.1,2.8,4.7,1.2
C1,0.568457,6.4,2.9,4.3,1.3
C3,0.516608,6.6,3.0,4.4,1.4
C3,0.512713,6.8,2.8,4.8,1.4
C3,0.605004,6.7,3.0,5.0,1.7
C1,0.613821,6.0,2.9,4.5,1.5
C1,0.661478,5.7,2.6,3.5,1.0
C1,0.664055,5.5,2.4,3.8,1.1
C1,0.661721,5.5,2.4,3.7,1.0
C1,0.6645,5.8,2.7,3.9,1.2
C1,0.61851,6.0,2.7,5.1,1.6
C1,0.622145,5.4,3.0,4.5,1.5
C3,0.535586,6.0,3.4,4.5,1.6
C3,0.58706,6.7,3.1,4.7,1.5
C1,0.626172,6.3,2.3,4.4,1.3
C1,0.631692,5.6,3.0,4.1,1.3
C1,0.66875,5.5,2.5,4.0,1.3
C1,0.668247,5.5,2.6,4.4,1.2
C1,0.574852,6.1,3.0,4.6,1.4
C1,0.667272,5.8,2.6,4.0,1.2
C1,0.631071,5.0,2.3,3.3,1.0
C1,0.668171,5.6,2.7,4.2,1.3
C1,0.629063,5.7,3.0,4.2,1.2
C1,0.647436,5.7,2.9,4.2,1.3
C1,0.603937,6.2,2.9,4.3,1.3
C1,0.629493,5.1,2.5,3.0,1.1
C1,0.660642,5.7,2.8,4.1,1.3
C3,0.627911,6.3,3.3,6.0,2.5
C1,0.605492,5.8,2.7,5.1,1.9
C3,0.653081,7.1,3.0,5.9,2.1
C3,0.547712,6.3,2.9,5.6,1.8
C3,0.631585,6.5,3.0,5.8,2.2
C3,0.640368,7.6,3.0,6.6,2.1
C1,0.639931,4.9,2.5,4.5,1.7
C3,0.632785,7.3,2.9,6.3,1.8
C3,0.504437,6.7,2.5,5.8,1.8
C3,0.63884,7.2,3.6,6.1,2.5
C3,0.633685,6.5,3.2,5.1,2.0
C3,0.49593,6.4,2.7,5.3,1.9
C3,0.647876,6.8,3.0,5.5,2.1
C1,0.615736,5.7,2.5,5.0,2.0
C1,0.518725,5.8,2.8,5.1,2.4
C3,0.633486,6.4,3.2,5.3,2.3
C3,0.607703,6.5,3.0,5.5,1.8
C3,0.624126,7.7,3.8,6.7,2.2
C3,0.601362,7.7,2.6,6.9,2.3
C1,0.625578,6.0,2.2,5.0,1.5
C3,0.659997,6.9,3.2,5.7,2.3
C1,0.598039,5.6,2.8,4.9,2.0
C3,0.62117,7.7,2.8,6.7,2.0
C1,0.556318,6.3,2.7,4.9,1.8
C3,0.654062,6.7,3.3,5.7,2.1
C3,0.651236,7.2,3.2,6.0,1.8
C1,0.555137,6.2,2.8,4.8,1.8
C3,0.492411,6.1,3.0,4.9,1.8
C3,0.569253,6.4,2.8,5.6,2.1
C3,0.630984,7.2,3.0,5.8,1.6
C3,0.624401,7.4,2.8,6.1,1.9
C3,0.620707,7.9,3.8,6.4,2.0
C3,0.575396,6.4,2.8,5.6,2.2
C1,0.561494,6.3,2.8,5.1,1.5
C1,0.605896,6.1,2.6,5.6,1.4
C3,0.639503,7.7,3.0,6.1,2.3
C3,0.627305,6.3,3.4,5.6,2.4
C3,0.610427,6.4,3.1,5.5,1.8
C1,0.526926,6.0,3.0,4.8,1.8
C3,0.657141,6.9,3.1,5.4,2.1
C3,0.649764,6.7,3.1,5.6,2.4
C3,0.650471,6.9,3.1,5.1,2.3
C1,0.605492,5.8,2.7,5.1,1.9
C3,0.658338,6.8,3.2,5.9,2.3
C3,0.648739,6.7,3.3,5.7,2.5
C3,0.637754,6.7,3.0,5.2,2.3
C1,0.572464,6.3,2.5,5.0,1.9
C3,0.615891,6.5,3.0,5.2,2.0
C3,0.617706,6.2,3.4,5.4,2.3
C1,0.530689,5.9,3.0,5.1,1.8
